movie,popularity
1,0.6478021978021978
2,0.31978021978021975
3,0.06428571428571428
5,0.08021978021978023
6,0.2620879120879121
7,0.07197802197802197
10,0.23956043956043957
11,0.10824175824175825
12,0.05274725274725275
13,0.031868131868131866
14,0.033516483516483515
15,0.024175824175824177
16,0.21318681318681318
17,0.13516483516483516
18,0.09010989010989011
19,0.2368131868131868
20,0.031868131868131866
21,0.1554945054945055
22,0.06428571428571428
23,0.046153846153846156
24,0.05934065934065934
25,0.14175824175824175
26,0.023076923076923078
27,0.01978021978021978
28,0.026923076923076925
29,0.12692307692307692
31,0.07802197802197802
32,0.4747252747252747
34,0.26483516483516484
36,0.12417582417582418
38,0.017582417582417582
39,0.2087912087912088
40,0.006043956043956044
41,0.031868131868131866
45,0.05274725274725275
47,0.5505494505494506
48,0.17087912087912088
50,0.5802197802197803
52,0.06043956043956044
58,0.053296703296703295
60,0.05384615384615385
61,0.012087912087912088
62,0.10164835164835165
63,0.02912087912087912
69,0.05824175824175824
70,0.2291208791208791
73,0.01703296703296703
74,0.013736263736263736
79,0.02912087912087912
82,0.022527472527472527
87,0.012087912087912088
88,0.04835164835164835
89,0.035164835164835165
92,0.01978021978021978
93,0.026923076923076925
94,0.04010989010989011
95,0.1357142857142857
97,0.08186813186813187
100,0.023626373626373626
101,0.0967032967032967
104,0.1956043956043956
105,0.06868131868131869
107,0.05054945054945055
110,0.4879120879120879
111,0.371978021978022
113,0.00934065934065934
116,0.006043956043956044
121,0.006043956043956044
123,0.057692307692307696
125,0.038461538461538464
132,0.013186813186813187
135,0.051648351648351645
140,0.015384615384615385
141,0.15494505494505495
144,0.025824175824175823
145,0.1620879120879121
147,0.054945054945054944
150,0.37857142857142856
151,0.07527472527472527
153,0.2445054945054945
154,0.03736263736263736
158,0.14835164835164835
160,0.0978021978021978
161,0.13791208791208792
162,0.056043956043956046
163,0.16538461538461538
164,0.026923076923076925
165,0.26868131868131867
168,0.08791208791208792
172,0.11923076923076924
173,0.16043956043956045
175,0.07747252747252747
176,0.033516483516483515
179,0.008791208791208791
180,0.13681318681318683
185,0.15274725274725276
186,0.054945054945054944
190,0.015384615384615385
191,0.015384615384615385
194,0.05
196,0.13186813186813187
198,0.08736263736263736
199,0.02912087912087912
203,0.033516483516483515
207,0.035164835164835165
208,0.2549450549450549
213,0.014835164835164835
214,0.011538461538461539
215,0.16373626373626374
223,0.26263736263736265
224,0.06098901098901099
225,0.056593406593406594
227,0.024175824175824177
229,0.019230769230769232
230,0.0456043956043956
231,0.29285714285714287
232,0.0521978021978022
235,0.16153846153846155
236,0.06978021978021978
237,0.026373626373626374
238,0.006593406593406593
239,0.0489010989010989
240,0.008241758241758242
246,0.07417582417582418
247,0.08406593406593407
249,0.03571428571428571
252,0.06813186813186813
253,0.26263736263736265
256,0.0945054945054945
